Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-15-00000001-50-26.12.31-SECD-23FF45EE;00000001;;;;;;
M-15-00000002-50-26.12.31-SECD-23FF45EE;00000002;;;;;;
M-15-00000003-50-26.12.31-SECD-23FF45EE;00000003;;;;;;
M-15-00000004-50-26.12.31-SECD-23FF45EE;00000004;;;;;;
M-15-00000005-50-26.12.31-SECD-23FF45EE;00000005;;;;;;
M-15-00000006-50-26.12.31-SECD-23FF45EE;00000006;;;;;;
M-15-00000007-50-26.12.31-SECD-23FF45EE;00000007;;;;;;
M-15-00000008-50-26.12.31-SECD-23FF45EE;00000008;;;;;;
M-15-00000009-50-26.12.31-SECD-23FF45EE;00000009;;;;;;
M-15-00000010-50-26.12.31-SECD-23FF45EE;00000010;;;;;;
M-15-00000011-50-26.12.31-SECD-23FF45EE;00000011;;;;;;
M-15-00000012-50-26.12.31-SECD-23FF45EE;00000012;;;;;;
M-15-00000013-50-26.12.31-SECD-23FF45EE;00000013;;;;;;
M-15-00000014-50-26.12.31-SECD-23FF45EE;00000014;;;;;;
M-15-00000015-50-26.12.31-SECD-23FF45EE;00000015;;;;;;
M-15-00000016-50-26.12.31-SECD-23FF45EE;00000016;;;;;;
M-15-00000017-50-26.12.31-SECD-23FF45EE;00000017;;;;;;
M-15-00000018-50-26.12.31-SECD-23FF45EE;00000018;;;;;;
M-15-00000019-50-26.12.31-SECD-23FF45EE;00000019;;;;;;
M-15-00000020-50-26.12.31-SECD-23FF45EE;00000020;;;;;;
M-15-00000021-50-26.12.31-SECD-23FF45EE;00000021;;;;;;
M-15-00000022-50-26.12.31-SECD-23FF45EE;00000022;;;;;;
M-15-00000023-50-26.12.31-SECD-23FF45EE;00000023;;;;;;
M-15-00000024-50-26.12.31-SECD-23FF45EE;00000024;;;;;;
M-15-00000025-50-26.12.31-SECD-23FF45EE;00000025;;;;;;
M-15-00000026-50-26.12.31-SECD-23FF45EE;00000026;;;;;;
M-15-00000027-50-26.12.31-SECD-23FF45EE;00000027;;;;;;
M-15-00000028-50-26.12.31-SECD-23FF45EE;00000028;;;;;;
M-15-00000029-50-26.12.31-SECD-23FF45EE;00000029;;;;;;
M-15-00000030-50-26.12.31-SECD-23FF45EE;00000030;;;;;;
M-15-00000031-50-26.12.31-SECD-23FF45EE;00000031;;;;;;
M-15-00000032-50-26.12.31-SECD-23FF45EE;00000032;;;;;;
M-15-00000033-50-26.12.31-SECD-23FF45EE;00000033;;;;;;
M-15-00000034-50-26.12.31-SECD-23FF45EE;00000034;;;;;;
M-15-00000035-50-26.12.31-SECD-23FF45EE;00000035;;;;;;
M-15-00000036-50-26.12.31-SECD-23FF45EE;00000036;;;;;;
M-15-00000037-50-26.12.31-SECD-23FF45EE;00000037;;;;;;
M-15-00000038-50-26.12.31-SECD-23FF45EE;00000038;;;;;;
M-15-00000039-50-26.12.31-SECD-23FF45EE;00000039;;;;;;
M-15-00000040-50-26.12.31-SECD-23FF45EE;00000040;;;;;;
M-15-00000041-50-26.12.31-SECD-23FF45EE;00000041;;;;;;
M-15-00000042-50-26.12.31-SECD-23FF45EE;00000042;;;;;;
M-15-00000043-50-26.12.31-SECD-23FF45EE;00000043;;;;;;
M-15-00000044-50-26.12.31-SECD-23FF45EE;00000044;;;;;;
M-15-00000045-50-26.12.31-SECD-23FF45EE;00000045;;;;;;
M-15-00000046-50-26.12.31-SECD-23FF45EE;00000046;;;;;;
M-15-00000047-50-26.12.31-SECD-23FF45EE;00000047;;;;;;
M-15-00000048-50-26.12.31-SECD-23FF45EE;00000048;;;;;;
M-15-00000049-50-26.12.31-SECD-23FF45EE;00000049;;;;;;
M-15-00000050-50-26.12.31-SECD-23FF45EE;00000050;;;;;;
M-15-00000051-50-26.12.31-SECD-23FF45EE;00000051;;;;;;
M-15-00000052-50-26.12.31-SECD-23FF45EE;00000052;;;;;;
M-15-00000053-50-26.12.31-SECD-23FF45EE;00000053;;;;;;
M-15-00000054-50-26.12.31-SECD-23FF45EE;00000054;;;;;;
M-15-00000055-50-26.12.31-SECD-23FF45EE;00000055;;;;;;
M-15-00000056-50-26.12.31-SECD-23FF45EE;00000056;;;;;;
M-15-00000057-50-26.12.31-SECD-23FF45EE;00000057;;;;;;
M-15-00000058-50-26.12.31-SECD-23FF45EE;00000058;;;;;;
M-15-00000059-50-26.12.31-SECD-23FF45EE;00000059;;;;;;
M-15-00000060-50-26.12.31-SECD-23FF45EE;00000060;;;;;;
M-15-00000061-50-26.12.31-SECD-23FF45EE;00000061;;;;;;
M-15-00000062-50-26.12.31-SECD-23FF45EE;00000062;;;;;;
M-15-00000063-50-26.12.31-SECD-23FF45EE;00000063;;;;;;
M-15-00000064-50-26.12.31-SECD-23FF45EE;00000064;;;;;;
M-15-00000065-50-26.12.31-SECD-23FF45EE;00000065;;;;;;
M-15-00000066-50-26.12.31-SECD-23FF45EE;00000066;;;;;;
M-15-00000067-50-26.12.31-SECD-23FF45EE;00000067;;;;;;
M-15-00000068-50-26.12.31-SECD-23FF45EE;00000068;;;;;;
M-15-00000069-50-26.12.31-SECD-23FF45EE;00000069;;;;;;
M-15-00000070-50-26.12.31-SECD-23FF45EE;00000070;;;;;;
M-15-00000071-50-26.12.31-SECD-23FF45EE;00000071;;;;;;
M-15-00000072-50-26.12.31-SECD-23FF45EE;00000072;;;;;;
M-15-00000073-50-26.12.31-SECD-23FF45EE;00000073;;;;;;
M-15-00000074-50-26.12.31-SECD-23FF45EE;00000074;;;;;;
M-15-00000075-50-26.12.31-SECD-23FF45EE;00000075;;;;;;
M-15-00000076-50-26.12.31-SECD-23FF45EE;00000076;;;;;;
M-15-00000077-50-26.12.31-SECD-23FF45EE;00000077;;;;;;
M-15-00000078-50-26.12.31-SECD-23FF45EE;00000078;;;;;;
M-15-00000079-50-26.12.31-SECD-23FF45EE;00000079;;;;;;
M-15-00000080-50-26.12.31-SECD-23FF45EE;00000080;;;;;;
M-15-00000081-50-26.12.31-SECD-23FF45EE;00000081;;;;;;
M-15-00000082-50-26.12.31-SECD-23FF45EE;00000082;;;;;;
M-15-00000083-50-26.12.31-SECD-23FF45EE;00000083;;;;;;
M-15-00000084-50-26.12.31-SECD-23FF45EE;00000084;;;;;;
M-15-00000085-50-26.12.31-SECD-23FF45EE;00000085;;;;;;
M-15-00000086-50-26.12.31-SECD-23FF45EE;00000086;;;;;;
M-15-00000087-50-26.12.31-SECD-23FF45EE;00000087;;;;;;
M-15-00000088-50-26.12.31-SECD-23FF45EE;00000088;;;;;;
M-15-00000089-50-26.12.31-SECD-23FF45EE;00000089;;;;;;
M-15-00000090-50-26.12.31-SECD-23FF45EE;00000090;;;;;;
M-15-00000091-50-26.12.31-SECD-23FF45EE;00000091;;;;;;
M-15-00000092-50-26.12.31-SECD-23FF45EE;00000092;;;;;;
M-15-00000093-50-26.12.31-SECD-23FF45EE;00000093;;;;;;
M-15-00000094-50-26.12.31-SECD-23FF45EE;00000094;;;;;;
M-15-00000095-50-26.12.31-SECD-23FF45EE;00000095;;;;;;
M-15-00000096-50-26.12.31-SECD-23FF45EE;00000096;;;;;;
M-15-00000097-50-26.12.31-SECD-23FF45EE;00000097;;;;;;
M-15-00000098-50-26.12.31-SECD-23FF45EE;00000098;;;;;;
M-15-00000099-50-26.12.31-SECD-23FF45EE;00000099;;;;;;
M-15-00000100-50-26.12.31-SECD-23FF45EE;00000100;;;;;;
M-15-00000101-50-26.12.31-SECD-23FF45EE;00000101;;;;;;
M-15-00000102-50-26.12.31-SECD-23FF45EE;00000102;;;;;;
M-15-00000103-50-26.12.31-SECD-23FF45EE;00000103;;;;;;
M-15-00000104-50-26.12.31-SECD-23FF45EE;00000104;;;;;;
M-15-00000105-50-26.12.31-SECD-23FF45EE;00000105;;;;;;
M-15-00000106-50-26.12.31-SECD-23FF45EE;00000106;;;;;;
M-15-00000107-50-26.12.31-SECD-23FF45EE;00000107;;;;;;
M-15-00000108-50-26.12.31-SECD-23FF45EE;00000108;;;;;;
M-15-00000109-50-26.12.31-SECD-23FF45EE;00000109;;;;;;
M-15-00000110-50-26.12.31-SECD-23FF45EE;00000110;;;;;;
M-15-00000111-50-26.12.31-SECD-23FF45EE;00000111;;;;;;
M-15-00000112-50-26.12.31-SECD-23FF45EE;00000112;;;;;;
M-15-00000113-50-26.12.31-SECD-23FF45EE;00000113;;;;;;
M-15-00000114-50-26.12.31-SECD-23FF45EE;00000114;;;;;;
M-15-00000115-50-26.12.31-SECD-23FF45EE;00000115;;;;;;
M-15-00000116-50-26.12.31-SECD-23FF45EE;00000116;;;;;;
