Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-1-00000001-50-26.12.31-SECD-23FF45EE;00000001;;;;;;
M-1-00000002-50-26.12.31-SECD-23FF45EE;00000002;;;;;;
M-1-00000003-50-26.12.31-SECD-23FF45EE;00000003;;;;;;
M-1-00000004-50-26.12.31-SECD-23FF45EE;00000004;;;;;;
M-1-00000005-50-26.12.31-SECD-23FF45EE;00000005;;;;;;
M-1-00000006-50-26.12.31-SECD-23FF45EE;00000006;;;;;;
M-1-00000007-50-26.12.31-SECD-23FF45EE;00000007;;;;;;
M-1-00000008-50-26.12.31-SECD-23FF45EE;00000008;;;;;;
M-1-00000009-50-26.12.31-SECD-23FF45EE;00000009;;;;;;
M-1-00000010-50-26.12.31-SECD-23FF45EE;00000010;;;;;;
M-1-00000011-50-26.12.31-SECD-23FF45EE;00000011;;;;;;
M-1-00000012-50-26.12.31-SECD-23FF45EE;00000012;;;;;;
M-1-00000013-50-26.12.31-SECD-23FF45EE;00000013;;;;;;
M-1-00000014-50-26.12.31-SECD-23FF45EE;00000014;;;;;;
M-1-00000015-50-26.12.31-SECD-23FF45EE;00000015;;;;;;
M-1-00000016-50-26.12.31-SECD-23FF45EE;00000016;;;;;;
M-1-00000017-50-26.12.31-SECD-23FF45EE;00000017;;;;;;
M-1-00000018-50-26.12.31-SECD-23FF45EE;00000018;;;;;;
M-1-00000019-50-26.12.31-SECD-23FF45EE;00000019;;;;;;
M-1-00000020-50-26.12.31-SECD-23FF45EE;00000020;;;;;;
M-1-00000021-50-26.12.31-SECD-23FF45EE;00000021;;;;;;
M-1-00000022-50-26.12.31-SECD-23FF45EE;00000022;;;;;;
M-1-00000023-50-26.12.31-SECD-23FF45EE;00000023;;;;;;
M-1-00000024-50-26.12.31-SECD-23FF45EE;00000024;;;;;;
M-1-00000025-50-26.12.31-SECD-23FF45EE;00000025;;;;;;
M-1-00000026-50-26.12.31-SECD-23FF45EE;00000026;;;;;;
M-1-00000027-50-26.12.31-SECD-23FF45EE;00000027;;;;;;
M-1-00000028-50-26.12.31-SECD-23FF45EE;00000028;;;;;;
M-1-00000029-50-26.12.31-SECD-23FF45EE;00000029;;;;;;
M-1-00000030-50-26.12.31-SECD-23FF45EE;00000030;;;;;;
M-1-00000031-50-26.12.31-SECD-23FF45EE;00000031;;;;;;
M-1-00000032-50-26.12.31-SECD-23FF45EE;00000032;;;;;;
M-1-00000033-50-26.12.31-SECD-23FF45EE;00000033;;;;;;
M-1-00000034-50-26.12.31-SECD-23FF45EE;00000034;;;;;;
M-1-00000035-50-26.12.31-SECD-23FF45EE;00000035;;;;;;
M-1-00000036-50-26.12.31-SECD-23FF45EE;00000036;;;;;;
M-1-00000037-50-26.12.31-SECD-23FF45EE;00000037;;;;;;
M-1-00000038-50-26.12.31-SECD-23FF45EE;00000038;;;;;;
M-1-00000039-50-26.12.31-SECD-23FF45EE;00000039;;;;;;
M-1-00000040-50-26.12.31-SECD-23FF45EE;00000040;;;;;;
M-1-00000041-50-26.12.31-SECD-23FF45EE;00000041;;;;;;
M-1-00000042-50-26.12.31-SECD-23FF45EE;00000042;;;;;;
M-1-00000043-50-26.12.31-SECD-23FF45EE;00000043;;;;;;
M-1-00000044-50-26.12.31-SECD-23FF45EE;00000044;;;;;;
M-1-00000045-50-26.12.31-SECD-23FF45EE;00000045;;;;;;
M-1-00000046-50-26.12.31-SECD-23FF45EE;00000046;;;;;;
M-1-00000047-50-26.12.31-SECD-23FF45EE;00000047;;;;;;
M-1-00000048-50-26.12.31-SECD-23FF45EE;00000048;;;;;;
M-1-00000049-50-26.12.31-SECD-23FF45EE;00000049;;;;;;
M-1-00000050-50-26.12.31-SECD-23FF45EE;00000050;;;;;;
M-1-00000051-50-26.12.31-SECD-23FF45EE;00000051;;;;;;
M-1-00000052-50-26.12.31-SECD-23FF45EE;00000052;;;;;;
M-1-00000053-50-26.12.31-SECD-23FF45EE;00000053;;;;;;
M-1-00000054-50-26.12.31-SECD-23FF45EE;00000054;;;;;;
M-1-00000055-50-26.12.31-SECD-23FF45EE;00000055;;;;;;
M-1-00000056-50-26.12.31-SECD-23FF45EE;00000056;;;;;;
M-1-00000057-50-26.12.31-SECD-23FF45EE;00000057;;;;;;
